,vehicle_lane,lon,lat,timestep,mobility_mode,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
116,-101154827,24.92771090737302,60.16258061095071,58,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-101154827,24.92771090737302,60.16258061095071,58,fuel,76.05235822660731,4523.22,76056.0,1017.72,610.11,7.2,33.0
118,-101154827,24.92771090737302,60.16258061095071,59,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,-101154827,24.92771090737302,60.16258061095071,59,fuel,71.70602080041732,1660.1,25716.0,362.11,212.29,2.92,11.0
120,-1066551973,24.94429987281493,60.16414450332082,0,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,-1066551973,24.94429987281493,60.16414450332082,0,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,-1066551973,24.94429987281493,60.16414450332082,1,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-1066551973,24.94429987281493,60.16414450332082,1,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,-1066551973,24.94429987281493,60.16414450332082,2,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,-1066551973,24.94429987281493,60.16414450332082,2,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,-1066551973,24.94429987281493,60.16414450332082,3,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,-1066551973,24.94429987281493,60.16414450332082,3,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,-1066551973,24.94429987281493,60.16414450332082,4,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,-1066551973,24.94429987281493,60.16414450332082,4,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,-1066551973,24.94429987281493,60.16414450332082,5,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,-1066551973,24.94429987281493,60.16414450332082,5,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,-1066551973,24.94429987281493,60.16414450332082,6,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,-1066551973,24.94429987281493,60.16414450332082,6,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,-1066551973,24.94429987281493,60.16414450332082,7,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,-1066551973,24.94429987281493,60.16414450332082,7,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,-1066551973,24.94429987281493,60.16414450332082,8,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,-1066551973,24.94429987281493,60.16414450332082,8,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,-1066551973,24.94429987281493,60.16414450332082,9,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,-1066551973,24.94429987281493,60.16414450332082,9,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,-1066551973,24.94429987281493,60.16414450332082,10,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,-1066551973,24.94429987281493,60.16414450332082,10,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,-1066551973,24.94429987281493,60.16414450332082,11,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,-1066551973,24.94429987281493,60.16414450332082,11,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,-1066551973,24.94429987281493,60.16414450332082,12,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,-1066551973,24.94429987281493,60.16414450332082,12,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
146,-1066551973,24.94429987281493,60.16414450332082,13,electric,55.94,0.0,0.0,0.0,0.0,0.0,1.0
147,-1066551973,24.94429987281493,60.16414450332082,13,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,-1066551973,24.94429987281493,60.16414450332082,14,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,-1066551973,24.94429987281493,60.16414450332082,14,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,-1066551973,24.94429987281493,60.16414450332082,15,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,-1066551973,24.94429987281493,60.16414450332082,15,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,-1066551973,24.94429987281493,60.16414450332082,16,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,-1066551973,24.94429987281493,60.16414450332082,16,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,-1066551973,24.94429987281493,60.16414450332082,17,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,-1066551973,24.94429987281493,60.16414450332082,17,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,-1066551973,24.94429987281493,60.16414450332082,18,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,-1066551973,24.94429987281493,60.16414450332082,18,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,-1066551973,24.94429987281493,60.16414450332082,19,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,-1066551973,24.94429987281493,60.16414450332082,19,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,-1066551973,24.94429987281493,60.16414450332082,20,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,-1066551973,24.94429987281493,60.16414450332082,20,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,-1066551973,24.94429987281493,60.16414450332082,21,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,-1066551973,24.94429987281493,60.16414450332082,21,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
164,-1066551973,24.94429987281493,60.16414450332082,22,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
